code;movie_id;short_description
nl;1;Gelegen in een verre toekomst, volgt het het verhaal van Paul Atreides, een jonge edelman wiens familie controle krijgt over de woestijnplaneet Arrakis. Terwijl Paul de complexe politiek en machtsstrijd van Arrakis navigeert, ontdekt hij zijn eigen lot verweven met de toekomst van de planeet, waarbij hij onderweg epische gevechten en mystieke krachten tegenkomt.
en;1;Set in a distant future, it follows the journey of Paul Atreides, a young nobleman whose family gains control of the desert planet Arrakis. As Paul navigates the complex politics and power struggles of Arrakis, he discovers his own destiny intertwined with the planet's fate, facing epic battles and mystical forces along the way.
nl;2;"De film volgt het verhaal van Andy Dufresne, een bankier die veroordeeld wordt tot levenslang in de Shawshank State-gevangenis voor een misdaad die hij niet heeft begaan. Binnen de gevangenis vormt hij een band met medegevangene Ellis ""Red"" Redding, terwijl hij de harde realiteit van het gevangenisleven doorstaat. Door volharding en hoop inspireert Andy de mensen om hem heen, wat uiteindelijk leidt tot een opmerkelijke reis van verlossing en vriendschap."
en;2;"The film follows the story of Andy Dufresne, a banker who is sentenced to life in Shawshank State Penitentiary for a crime he didn't commit. Inside the prison, he forms a bond with fellow inmate Ellis ""Red"" Redding, as he navigates the harsh realities of prison life. Through perseverance and hope, Andy inspires those around him, ultimately leading to a remarkable journey of redemption and friendship."
nl;3;Set in the gritty streets of Gotham City, the film follows Batman as he faces his most formidable adversary yet, the Joker.
en;3;Gevestigd in de grimmige straten van Gotham City, volgt de film Batman terwijl hij zijn meest geduchte tegenstander tot nu toe het hoofd biedt, de Joker.
nl;4;vecht club
en;4;club for fighting
nl;5;Gevestigd in een dystopische toekomst waar de aarde op de rand van milieucollaps staat, volgt het verhaal een groep astronauten onder leiding van Cooper, een voormalige NASA-piloot, terwijl ze een gevaarlijke reis door een nieuw ontdekt wormgat ondernemen op zoek naar een nieuwe bewoonbare planeet voor de mensheid.
en;5;Set in a dystopian future where Earth is on the brink of environmental collapse, the story follows a group of astronauts led by Cooper, a former NASA pilot, as they embark on a perilous journey through a newly discovered wormhole in search of a new habitable planet for humanity.
nl;6;"""The Departed"" is een meeslepende misdaadthriller geregisseerd door Martin Scorsese. De film speelt zich af in Boston, waar infiltranten van de politie en de georganiseerde misdaad elkaars pad kruisen. Een jonge politieagent infiltreert in de criminele bende, terwijl een opkomende crimineel zijn weg naar de top baant binnen de politie. De film ontrafelt een web van bedrog, loyaliteit en verraad, waarbij niemand is wie ze lijken te zijn en de grens tussen goed en kwaad vaag wordt."
en;6;"""The Departed"" is a gripping crime thriller directed by Martin Scorsese. The film is set in Boston, where undercover police officers and organized crime intersect. A young police officer infiltrates the criminal gang, while an up-and-coming criminal works his way to the top within the police force. The movie unravels a web of deception, loyalty, and betrayal, where nobody is who they seem to be and the line between good and evil becomes blurred."
nl;7;Over Oppenheimer
en;7;About J Robert Oppenheimer
nl;8;"""Snatch"" is een snelle misdaadkomedie geregisseerd door Guy Ritchie. Gevestigd in de onderwereld van Londen, volgt de film meerdere onderling verbonden verhaallijnen die draaien om een gestolen diamant, illegale bokswedstrijden, en kleurrijke personages zoals gangsters, dieven, en amateur bokspromotors. Met geestige dialogen, stijlvolle visuals, en onverwachte plotwendingen, biedt ""Snatch"" een opwindende rit vol humor, actie, en intrige."
en;8;"Set in the London underworld, the film follows multiple interconnected storylines revolving around a stolen diamond, illegal boxing matches, and colorful characters including gangsters, thieves, and amateur boxing promoters. With witty dialogue, stylish visuals, and unexpected plot twists, ""Snatch"" offers an exhilarating ride filled with humor, action, and intrigue."
nl;9;Geld stelen is illegaal
en;9;"""The Wolf of Wall Street"" is a biographical black comedy directed by Martin Scorsese. Based on the true story of Jordan Belfort, the film follows his rise and fall as a wealthy stockbroker who becomes involved in corruption, fraud, and extravagant excesses on Wall Street in the 1990s. With Leonardo DiCaprio in the lead role, the movie offers a wild and unapologetic portrayal of greed, hedonism, and the allure of power, showcasing the exhilarating highs and devastating consequences of Belfort's lifestyle."
nl;10;"""Inglourious Basterds"" is een spannende alternatieve historische oorlogsfilm geregisseerd door Quentin Tarantino. Gevestigd in door nazi's bezet Frankrijk tijdens de Tweede Wereldoorlog, weeft de film meerdere verhaallijnen samen, waaronder een groep Joods-Amerikaanse soldaten onder leiding van luitenant Aldo Raine, een wraakzuchtige Joodse bioscoop eigenaar, en een sluwe naziofficier bekend als ""De Jodenjager"". Terwijl hun paden samenkomen, beramen ze een aanslag op belangrijke nazileiders, waaronder Adolf Hitler, tijdens een filmpremiere in Parijs. Gevuld met Tarantino's kenmerkende dialogen, spanning, en gestileerd geweld, biedt ""Inglourious Basterds"" een unieke en prikkelende kijk op het oorlogsgenre."
en;10;That's a bingo!
